ID,category,name,country,birth_year,dead_or_alive,Died,gender,Major teams
26185,Cricket,A Agarwal,India,1979,Alive,,Male,Hyderabad (India)
27818,Cricket,A Chatterjee,India,1966,Alive,,Male,Hyderabad (India)
474782,Cricket,Aakarshit  Gomel,India,1993,Alive,,Male,Air India
27639,Cricket,Aakash Chopra,India,1977,Alive,,Male,"['India,', 'Delhi,', 'Himachal Pradesh,', 'Kolkata Knight Riders,', 'Marylebone Cricket Club,', 'Rajasthan,', 'Rajasthan Royals']"
642543,Cricket,Aamir Gani,India,1996,Alive,,Male,"['Bengal Under-19s,', 'India Under-19s']"
5334,Cricket,Aaron Finch,Australia,1986,Alive,,Male,"['Australia,', 'Auckland,', 'Australia A,', 'Australia Under-19s,', 'Delhi Daredevils,', 'Gujarat Lions,', 'Kings XI Punjab,', 'Melbourne Renegades,', 'Mumbai Indians,', 'Pune Warriors,', 'Rajasthan Royals,', 'Sunrisers Hyderabad,', 'Surrey,', 'Victoria,', 'Victoria Under-15s,', 'Victoria Under-17s,', 'Victoria Under-19s,', 'Yorkshire']"
30030,Cricket,Aashish Kapoor,India,1971,Alive,,Male,"['India,', 'Himachal Pradesh,', 'Punjab,', 'Rajasthan,', 'Tamil Nadu,', 'Tripura']"
34264,Cricket,Aavishkar Salvi,India,1981,Alive,,Male,"['India,', 'Delhi Daredevils,', 'Mumbai,', ""Mumbai Cricket Association President's XI""]"
26550,Cricket,Abbas Ali,India,1976,Alive,,Male,"['Delhi Giants,', 'ICL India XI,', 'Madhya Pradesh,', 'Tripura']"
26817,Cricket,Abbas Ali Baig,India,1939,Alive,,Male,"['India,', 'Hyderabad (India),', 'Oxford University,', 'Somerset']"
26307,Cricket,Abdul Azeem,India,1960,Alive,,Male,Hyderabad (India)
26163,Cricket,Abdul Azim,India,1955,Alive,,Male,Hyderabad (India)
451834,Cricket,Abdul Basheer,India,1989,Alive,,Male,Hyderabad (India)
41030,Cricket,Abdul Kardar,Pakistan,1925,Dead,"April 21, 1996, Islamabad, Punjab (aged 71 years 95 days) ",Male,"['India,', 'Pakistan,', 'Muslims,', 'Northern India,', 'Oxford University,', 'Services (Pakistan),', 'Warwickshire']"
1037173,Cricket,Abdul Khalek,India,1988,Alive,,Male,India Disable
30182,Cricket,Abey Kuruvilla,India,1968,Alive,,Male,"['India,', 'Cheshire,', 'Mumbai']"
642533,Cricket,Abhimanyu Lamba,India,1995,Alive,,Male,"['India Under-19s,', 'Rajasthan Under-19s']"
310958,Cricket,Abhimanyu Mithun,India,1989,Alive,,Male,"['India,', 'India A,', 'Karnataka,', 'Karnataka XI,', 'Mumbai Indians,', 'Royal Challengers Bangalore,', 'South Zone,', 'Sunrisers Hyderabad']"
26167,Cricket,Abhinav Kumar,India,1984,Alive,,Male,"['Deccan Chargers,', 'Hyderabad (India)']"
302582,Cricket,Abhinav Mukund,India,1990,Alive,,Male,"['India,', 'Albert TUTI Patriots,', 'Chennai Super Kings,', 'India A,', 'India Under-19s,', 'Royal Challengers Bangalore,', 'South Zone,', 'Tamil Nadu']"
1081436,Cricket,Abhishek Goswami,India,1997,Alive,,Male,"['India Under-19s,', 'Uttar Pradesh Under-19s']"
29702,Cricket,Abhishek Jhunjhunwala,India,1982,Alive,,Male,"['Bengal,', 'Deccan Chargers,', 'ICL India XI,', 'India A,', 'Kolkata Tigers,', 'Pune Warriors,', 'Rajasthan Royals,', 'Reebok XI']"
32091,Cricket,Abhishek Nayar,India,1983,Alive,,Male,"['India,', 'India Green,', 'Kings XI Punjab,', 'Mumbai,', ""Mumbai Cricket Association President's XI,"", 'Mumbai Indians,', 'Puducherry,', 'Pune Warriors,', 'Rajasthan Royals']"
1070183,Cricket,Abhishek Sharma,India,2000,Alive,,Male,"['Delhi Daredevils,', 'India Under-19s,', 'Punjab Under-16s,', 'Punjab Under-19s,', 'Sunrisers Hyderabad']"
930173,Cricket,Abhishek Vats,India,1995,Alive,,Male,"['Delhi Under-19s,', 'Delhi University,', 'Swami Shraddhanand College (India)']"
26512,Cricket,Abrar Ahmed,India,1971,Alive,,Male,Hyderabad (India)
228430,Cricket,Abu Nechim,India,1988,Alive,,Male,"['Assam,', 'ICL India XI,', 'India Under-19s,', 'Kolkata Tigers,', 'Mumbai Indians,', 'Royal Bengal Tigers,', 'Royal Challengers Bangalore']"
450860,Cricket,Adam Milne,New Zealand,1992,Alive,,Male,"['New Zealand,', 'Central Districts,', 'Kent,', 'Mumbai Indians,', 'New Zealand A,', 'Royal Challengers Bangalore']"
